race_id	date	race_type	around	course_len	weather	ground_state	race_class	place
202106040407	2021-09-19	1	0.0	1800	0.0	0	2	6
202106040408	2021-09-19	0	0.0	2400	0.0	1	2	6
202106040409	2021-09-19	0	0.0	1200	0.0	1	5	6
202106040410	2021-09-19	1	0.0	1800	0.0	0	4	6
202106040411	2021-09-19	0	0.0	1800	0.0	1	5	6
202106040412	2021-09-19	1	0.0	1200	0.0	0	2	6
202106040501	2021-09-20	3		2880	0.0	0	1	6
202106040502	2021-09-20	1	0.0	1600	0.0	0	1	6
202106040503	2021-09-20	0	0.0	1200	0.0	1	1	6
202106040504	2021-09-20	1	0.0	1800	0.0	0	1	6
202106040505	2021-09-20	1	0.0	1600	0.0	0	0	6
202106040506	2021-09-20	1	0.0	2000	0.0	0	0	6
202106040507	2021-09-20	0	0.0	1800	0.0	0	2	6
202106040508	2021-09-20	0	0.0	1200	0.0	0	2	6
202106040509	2021-09-20	0	0.0	1800	0.0	0	5	6
202106040510	2021-09-20	1	0.0	2000	0.0	0	3	6
202106040511	2021-09-20	1	0.0	2200	0.0	0	7	6
202106040512	2021-09-20	0	0.0	1200	0.0	0	2	6
202106040601	2021-09-25	0	0.0	1200	1.0	0	1	6
202106040602	2021-09-25	1	0.0	1600	1.0	0	1	6
202106040603	2021-09-25	0	0.0	1800	1.0	0	0	6
202106040604	2021-09-25	1	0.0	1200	1.0	0	2	6
202106040605	2021-09-25	1	0.0	1600	1.0	0	0	6
202106040606	2021-09-25	1	0.0	2000	1.0	0	2	6
202106040607	2021-09-25	0	0.0	1800	1.0	0	2	6
202106040608	2021-09-25	3		3210	1.0	0	5	6
202106040609	2021-09-25	1	0.0	1200	1.0	0	5	6
202106040610	2021-09-25	1	0.0	2500	1.0	0	5	6
202106040611	2021-09-25	0	0.0	1200	1.0	0	5	6
202106040612	2021-09-25	0	0.0	1800	1.0	0	3	6
202106040701	2021-09-26	0	0.0	1800	1.0	0	1	6
202106040702	2021-09-26	1	0.0	1200	1.0	0	1	6
202106040703	2021-09-26	1	0.0	1800	1.0	0	1	6
202106040704	2021-09-26	0	0.0	1200	1.0	0	0	6
202106040705	2021-09-26	1	0.0	2000	1.0	0	0	6
202106040706	2021-09-26	0	0.0	1200	1.0	0	2	6
202106040707	2021-09-26	1	0.0	1600	1.0	0	2	6
202106040708	2021-09-26	0	0.0	1800	1.0	0	2	6
202106040709	2021-09-26	1	0.0	1600	1.0	0	5	6
202106040710	2021-09-26	0	0.0	1800	2.0	0	4	6
202106040711	2021-09-26	1	0.0	2200	1.0	0	7	6
202106040712	2021-09-26	0	0.0	1200	1.0	0	3	6
202106040801	2021-10-02	3		2880	0.0	2	1	6
202106040802	2021-10-02	1	0.0	1200	0.0	2	1	6
202106040803	2021-10-02	0	0.0	1800	0.0	2	1	6
202106040804	2021-10-02	1	0.0	2000	0.0	1	1	6
202106040805	2021-10-02	1	0.0	1600	0.0	1	0	6
202106040806	2021-10-02	0	0.0	1200	0.0	1	0	6
202106040807	2021-10-02	0	0.0	1800	0.0	1	2	6
202106040808	2021-10-02	0	0.0	1200	0.0	1	2	6
202106040809	2021-10-02	1	0.0	2000	0.0	0	5	6
202106040810	2021-10-02	1	0.0	1200	0.0	0	5	6
202106040811	2021-10-02	1	0.0	1600	0.0	0	4	6
202106040812	2021-10-02	0	0.0	1200	0.0	1	3	6
202106040901	2021-10-03	0	0.0	1200	0.0	2	1	6
202106040902	2021-10-03	1	0.0	1600	0.0	1	1	6
202106040903	2021-10-03	1	0.0	1200	0.0	1	0	6
202106040904	2021-10-03	0	0.0	1800	0.0	2	2	6
202106040905	2021-10-03	1	0.0	1800	1.0	1	0	6
202106040906	2021-10-03	0	0.0	1200	1.0	2	2	6
202106040907	2021-10-03	1	0.0	2200	0.0	1	2	6
202106040908	2021-10-03	0	0.0	1800	0.0	1	3	6
202106040909	2021-10-03	1	0.0	1600	0.0	0	2	6
202106040910	2021-10-03	1	0.0	1800	0.0	0	3	6
202106040911	2021-10-03	1	0.0	1200	0.0	0	8	6
202106040912	2021-10-03	0	0.0	1200	0.0	1	4	6
202106050101	2021-12-04	0	0.0	1200	0.0	1	1	6
202106050102	2021-12-04	0	0.0	1800	0.0	1	1	6
202106050103	2021-12-04	1	0.0	2000	0.0	0	1	6
202106050104	2021-12-04	0	0.0	1800	0.0	1	1	6
202106050105	2021-12-04	1	0.0	1200	0.0	0	0	6
202106050106	2021-12-04	0	0.0	1800	0.0	0	0	6
202106050107	2021-12-04	0	0.0	1200	0.0	0	2	6
202106050108	2021-12-04	3		3570	0.0	0	5	6
202106050109	2021-12-04	1	0.0	2000	0.0	0	2	6
202106050110	2021-12-04	0	0.0	1200	0.0	0	5	6
202106050111	2021-12-04	1	0.0	2	0.0	0	7	6
202106050112	2021-12-04	1	0.0	1200	0.0	0	3	6
202106050201	2021-12-05	0	0.0	1200	0.0	0	1	6
